,AP Psych interest (scaled),Psych interest (scaled)
0,0.0,0.7741935483870966
1,0.0,0.9032258064516129
2,0.0,0.7258064516129031
3,0.15254237288135591,0.8870967741935484
4,0.3220338983050847,0.6451612903225806
5,0.0,0.4516129032258064
6,0.0,0.3709677419354839
7,0.0,0.5322580645161289
8,0.0,0.9999999999999999
9,0.0,0.9193548387096774
10,0.0,0.9677419354838709
11,0.0,0.7096774193548386
12,0.15254237288135591,0.7258064516129031
13,0.0,0.7741935483870966
14,0.15254237288135591,0.6774193548387096
15,0.15254237288135591,0.7741935483870966
16,0.15254237288135591,0.5322580645161289
17,0.0,0.32258064516129026
18,0.0,0.30645161290322576
19,0.0,0.3870967741935484
20,0.0,0.8387096774193549
21,0.0,0.8064516129032259
22,0.0,0.7419354838709676
23,0.0,0.4354838709677419
24,0.0,0.4999999999999999
25,0.15254237288135591,0.6290322580645161
26,0.0,0.4838709677419354
27,0.15254237288135591,0.5645161290322581
28,0.3220338983050847,0.4032258064516129
29,0.0,0.22580645161290314
30,0.0,0.14516129032258063
31,0.0,0.27419354838709675
32,0.15254237288135591,0.6129032258064516
33,0.0,0.5967741935483871
34,0.0,0.5645161290322581
35,0.0,0.32258064516129026
36,0.15254237288135591,0.4354838709677419
37,0.0,0.4032258064516129
38,0.15254237288135591,0.3548387096774194
39,0.15254237288135591,0.3870967741935484
40,0.15254237288135591,0.30645161290322576
41,0.0,0.14516129032258063
42,0.0,0.11290322580645162
43,0.0,0.24193548387096775
44,0.0,0.5483870967741934
45,0.15254237288135591,0.5483870967741934
46,0.0,0.4838709677419354
47,0.0,0.27419354838709675
48,0.15254237288135591,0.4032258064516129
49,0.0,0.4032258064516129
50,0.0,0.3548387096774194
51,0.15254237288135591,0.4193548387096774
52,0.3220338983050847,0.22580645161290314
53,0.0,0.09677419354838712
54,0.0,0.08064516129032251
55,0.0,0.17741935483870963
56,0.15254237288135591,0.5967741935483871
57,0.15254237288135591,0.4999999999999999
58,0.0,0.4838709677419354
59,0.15254237288135591,0.30645161290322576
60,0.15254237288135591,0.4516129032258064
61,0.15254237288135591,0.4999999999999999
62,0.15254237288135591,0.4032258064516129
63,0.15254237288135591,0.4516129032258064
64,0.3220338983050847,0.32258064516129026
65,0.0,0.17741935483870963
66,0.0,0.11290322580645162
67,0.0,0.27419354838709675
68,0.15254237288135591,0.6612903225806451
69,0.15254237288135591,0.5645161290322581
70,0.15254237288135591,0.5645161290322581
71,0.15254237288135591,0.3548387096774194
72,0.15254237288135591,0.4999999999999999
73,0.15254237288135591,0.5161290322580644
74,0.15254237288135591,0.4516129032258064
75,0.15254237288135591,0.4677419354838709
76,0.3220338983050847,0.3548387096774194
77,0.0,0.12903225806451613
78,0.0,0.06451612903225801
79,0.0,0.20967741935483863
80,0.15254237288135591,0.5161290322580644
81,0.15254237288135591,0.4516129032258064
82,0.15254237288135591,0.4677419354838709
83,0.15254237288135591,0.27419354838709675
84,0.15254237288135591,0.4999999999999999
85,0.15254237288135591,0.4838709677419354
86,0.15254237288135591,0.4354838709677419
87,0.3220338983050847,0.4999999999999999
88,0.3220338983050847,0.3870967741935484
89,0.0,0.22580645161290314
90,0.0,0.16129032258064513
91,0.15254237288135591,0.32258064516129026
92,0.15254237288135591,0.6612903225806451
93,0.15254237288135591,0.5645161290322581
94,0.15254237288135591,0.5967741935483871
95,0.15254237288135591,0.32258064516129026
96,0.15254237288135591,0.4999999999999999
97,0.15254237288135591,0.5322580645161289
98,0.15254237288135591,0.4354838709677419
99,0.3220338983050847,0.4838709677419354
100,0.4915254237288135,0.33870967741935476
101,0.0,0.16129032258064513
102,0.0,0.11290322580645162
103,0.15254237288135591,0.30645161290322576
104,0.15254237288135591,0.6129032258064516
105,0.15254237288135591,0.5322580645161289
106,0.15254237288135591,0.4677419354838709
107,0.15254237288135591,0.27419354838709675
108,0.15254237288135591,0.4516129032258064
109,0.3220338983050847,0.4677419354838709
110,0.15254237288135591,0.3870967741935484
111,0.4915254237288135,0.4999999999999999
112,0.6610169491525424,0.33870967741935476
113,0.0,0.11290322580645162
114,0.0,0.06451612903225801
115,0.15254237288135591,0.27419354838709675
116,0.3220338983050847,0.5967741935483871
117,0.3220338983050847,0.5645161290322581
118,0.15254237288135591,0.4838709677419354
119,0.3220338983050847,0.27419354838709675
120,0.3220338983050847,0.4354838709677419
121,0.3220338983050847,0.4999999999999999
122,0.3220338983050847,0.4193548387096774
123,0.6610169491525424,0.4838709677419354
124,0.6610169491525424,0.3548387096774194
125,0.0,0.09677419354838712
126,0.0,0.08064516129032251
127,0.15254237288135591,0.27419354838709675
128,0.3220338983050847,0.6774193548387096
129,0.3220338983050847,0.5806451612903226
130,0.3220338983050847,0.4677419354838709
131,0.3220338983050847,0.30645161290322576
132,0.3220338983050847,0.4516129032258064
133,0.3220338983050847,0.4838709677419354
134,0.3220338983050847,0.4193548387096774
135,0.6610169491525424,0.5161290322580644
136,0.6610169491525424,0.32258064516129026
137,0.0,0.09677419354838712
138,0.0,0.06451612903225801
139,0.15254237288135591,0.27419354838709675
140,0.3220338983050847,0.6774193548387096
141,0.4915254237288135,0.5806451612903226
142,0.3220338983050847,0.5161290322580644
143,0.3220338983050847,0.30645161290322576
144,0.4915254237288135,0.4354838709677419
145,0.4915254237288135,0.5161290322580644
146,0.4915254237288135,0.3870967741935484
147,0.8305084745762712,0.5322580645161289
148,0.6610169491525424,0.32258064516129026
149,0.0,0.06451612903225801
150,0.0,0.0
151,0.15254237288135591,0.27419354838709675
152,0.4915254237288135,0.6290322580645161
153,0.4915254237288135,0.4999999999999999
154,0.4915254237288135,0.4516129032258064
155,0.3220338983050847,0.30645161290322576
156,0.4915254237288135,0.4677419354838709
157,0.4915254237288135,0.5322580645161289
158,0.6610169491525424,0.4838709677419354
159,1.0,0.5322580645161289
160,0.4915254237288135,0.33870967741935476
161,0.0,0.06451612903225801
162,0.0,0.032258064516129004
163,0.15254237288135591,0.25806451612903225
164,0.4915254237288135,0.5645161290322581
165,0.4915254237288135,0.5806451612903226
166,0.4915254237288135,0.4999999999999999
167,0.4915254237288135,0.29032258064516125
168,0.4915254237288135,0.4516129032258064
169,0.4915254237288135,0.4838709677419354
170,0.4915254237288135,0.3709677419354839
171,0.8305084745762712,0.4354838709677419
172,1.0,0.33870967741935476
173,0.15254237288135591,0.048387096774193505
174,0.0,0.032258064516129004
175,0.15254237288135591,0.29032258064516125
176,0.4915254237288135,0.5967741935483871
177,0.4915254237288135,0.5322580645161289
178,0.4915254237288135,0.4032258064516129
179,0.4915254237288135,0.25806451612903225
180,0.4915254237288135,0.4193548387096774
181,0.4915254237288135,0.4838709677419354
182,0.4915254237288135,0.3709677419354839
183,0.6610169491525424,0.4193548387096774
184,1.0,0.30645161290322576
185,0.0,0.048387096774193505
186,0.15254237288135591,0.048387096774193505
187,0.15254237288135591,0.30645161290322576
188,0.4915254237288135,0.6129032258064516
189,0.4915254237288135,0.5483870967741934
190,0.3220338983050847,0.4032258064516129
191,0.3220338983050847,0.25806451612903225
192,0.4915254237288135,0.4032258064516129
193,0.4915254237288135,0.4838709677419354
194,0.15254237288135591,0.14516129032258063
