,AP Statistics interest (scaled),Statistics interest (scaled)
0,0.0,0.7325581395348837
1,0.0,0.8604651162790697
2,0.0,0.8837209302325582
3,0.47368421052631576,1.0
4,0.47368421052631576,0.7674418604651163
5,0.0,0.5813953488372092
6,0.0,0.5348837209302326
7,0.0,0.48837209302325585
8,0.0,0.6976744186046511
9,0.0,0.8604651162790697
10,0.0,0.9069767441860463
11,0.0,0.6627906976744187
12,0.0,0.5930232558139534
13,0.0,0.7325581395348837
14,0.0,0.7325581395348837
15,0.47368421052631576,0.8837209302325582
16,0.47368421052631576,0.7093023255813953
17,0.0,0.48837209302325585
18,0.0,0.4302325581395348
19,0.0,0.3953488372093023
20,0.0,0.569767441860465
21,0.0,0.6627906976744187
22,0.0,0.7325581395348837
23,0.0,0.5232558139534884
24,0.0,0.48837209302325585
25,0.0,0.5930232558139534
26,0.0,0.627906976744186
27,0.47368421052631576,0.6860465116279069
28,0.0,0.569767441860465
29,0.0,0.3604651162790698
30,0.0,0.2906976744186046
31,0.0,0.2906976744186046
32,0.0,0.4302325581395348
33,0.0,0.5465116279069768
34,0.0,0.5581395348837208
35,0.0,0.3953488372093023
36,0.0,0.3837209302325581
37,0.0,0.4302325581395348
38,0.0,0.441860465116279
39,0.47368421052631576,0.5348837209302326
40,0.47368421052631576,0.4302325581395348
41,0.0,0.2906976744186046
42,0.0,0.26744186046511625
43,0.0,0.25581395348837205
44,0.0,0.3837209302325581
45,0.0,0.47674418604651164
46,0.0,0.48837209302325585
47,0.0,0.3372093023255814
48,0.0,0.313953488372093
49,0.0,0.3720930232558139
50,0.0,0.3837209302325581
51,0.47368421052631576,0.47674418604651164
52,0.47368421052631576,0.3255813953488372
53,0.0,0.2325581395348837
54,0.0,0.19767441860465113
55,0.0,0.18604651162790697
56,0.0,0.3372093023255814
57,0.0,0.4069767441860465
58,0.0,0.441860465116279
59,0.0,0.3255813953488372
60,0.0,0.2906976744186046
61,0.0,0.4069767441860465
62,0.0,0.4069767441860465
63,0.47368421052631576,0.48837209302325585
64,0.47368421052631576,0.3604651162790698
65,0.0,0.2441860465116279
66,0.0,0.22093023255813954
67,0.0,0.22093023255813954
68,0.0,0.3604651162790698
69,0.0,0.4302325581395348
70,0.0,0.48837209302325585
71,0.0,0.3604651162790698
72,0.0,0.313953488372093
73,0.0,0.3953488372093023
74,0.0,0.441860465116279
75,0.47368421052631576,0.5116279069767442
76,0.47368421052631576,0.3604651162790698
77,0.0,0.22093023255813954
78,0.0,0.1511627906976744
79,0.0,0.1511627906976744
80,0.0,0.25581395348837205
81,0.0,0.313953488372093
82,0.0,0.3488372093023256
83,0.0,0.2325581395348837
84,0.0,0.25581395348837205
85,0.47368421052631576,0.313953488372093
86,0.47368421052631576,0.3255813953488372
87,0.47368421052631576,0.3720930232558139
88,0.47368421052631576,0.27906976744186046
89,0.0,0.17441860465116277
90,0.0,0.1395348837209302
91,0.0,0.1395348837209302
92,0.0,0.25581395348837205
93,0.0,0.3023255813953488
94,0.0,0.3255813953488372
95,0.0,0.22093023255813954
96,0.47368421052631576,0.22093023255813954
97,0.47368421052631576,0.27906976744186046
98,0.47368421052631576,0.27906976744186046
99,0.47368421052631576,0.313953488372093
100,1.0,0.2441860465116279
101,0.0,0.12790697674418605
102,0.0,0.11627906976744184
103,0.0,0.11627906976744184
104,0.0,0.22093023255813954
105,0.47368421052631576,0.2441860465116279
106,0.47368421052631576,0.2441860465116279
107,0.47368421052631576,0.19767441860465113
108,0.47368421052631576,0.19767441860465113
109,0.47368421052631576,0.2325581395348837
110,0.47368421052631576,0.22093023255813954
111,1.0,0.27906976744186046
112,1.0,0.19767441860465113
113,0.0,0.09302325581395349
114,0.0,0.08139534883720928
115,0.0,0.08139534883720928
116,0.47368421052631576,0.18604651162790697
117,0.47368421052631576,0.2325581395348837
118,0.47368421052631576,0.2325581395348837
119,0.47368421052631576,0.1511627906976744
120,0.47368421052631576,0.1511627906976744
121,0.47368421052631576,0.20930232558139533
122,0.47368421052631576,0.20930232558139533
123,1.0,0.2325581395348837
124,1.0,0.18604651162790697
125,0.0,0.09302325581395349
126,0.0,0.0697674418604651
127,0.0,0.09302325581395349
128,0.47368421052631576,0.19767441860465113
129,0.47368421052631576,0.2325581395348837
130,0.47368421052631576,0.20930232558139533
131,0.47368421052631576,0.16279069767441862
132,0.47368421052631576,0.1395348837209302
133,0.47368421052631576,0.18604651162790697
134,0.47368421052631576,0.19767441860465113
135,1.0,0.2441860465116279
136,1.0,0.16279069767441862
137,0.0,0.08139534883720928
138,0.0,0.05813953488372092
139,0.0,0.08139534883720928
140,0.47368421052631576,0.18604651162790697
141,0.47368421052631576,0.22093023255813954
142,0.47368421052631576,0.20930232558139533
143,0.47368421052631576,0.1511627906976744
144,0.47368421052631576,0.11627906976744184
145,0.47368421052631576,0.16279069767441862
146,0.47368421052631576,0.1511627906976744
147,1.0,0.19767441860465113
148,1.0,0.12790697674418605
149,0.0,0.05813953488372092
150,0.0,0.0697674418604651
151,0.0,0.046511627906976716
152,0.47368421052631576,0.1511627906976744
153,0.47368421052631576,0.1511627906976744
154,0.47368421052631576,0.16279069767441862
155,0.47368421052631576,0.08139534883720928
156,0.47368421052631576,0.11627906976744184
157,0.47368421052631576,0.17441860465116277
158,0.47368421052631576,0.16279069767441862
159,1.0,0.16279069767441862
160,1.0,0.12790697674418605
161,0.0,0.03488372093023254
162,0.0,0.023255813953488358
163,0.0,0.03488372093023254
164,0.47368421052631576,0.11627906976744184
165,0.47368421052631576,0.1511627906976744
166,0.47368421052631576,0.1395348837209302
167,0.47368421052631576,0.08139534883720928
168,0.47368421052631576,0.09302325581395349
169,0.47368421052631576,0.16279069767441862
170,0.47368421052631576,0.1395348837209302
171,1.0,0.1511627906976744
172,1.0,0.11627906976744184
173,0.0,0.03488372093023254
174,0.0,0.011627906976744179
175,0.0,0.03488372093023254
176,0.47368421052631576,0.11627906976744184
177,0.47368421052631576,0.12790697674418605
178,0.47368421052631576,0.11627906976744184
179,0.47368421052631576,0.05813953488372092
180,0.47368421052631576,0.08139534883720928
181,0.47368421052631576,0.11627906976744184
182,0.47368421052631576,0.10465116279069764
183,0.47368421052631576,0.11627906976744184
184,1.0,0.09302325581395349
185,0.0,0.011627906976744179
186,0.0,0.0
187,0.0,0.023255813953488358
188,0.47368421052631576,0.09302325581395349
189,0.47368421052631576,0.09302325581395349
190,0.47368421052631576,0.0697674418604651
191,0.47368421052631576,0.03488372093023254
192,0.47368421052631576,0.05813953488372092
193,0.47368421052631576,0.10465116279069764
194,0.47368421052631576,0.08139534883720928
